song_title,musical,subsection,year,composer,lyricist,lexical_richness,lexical_density,most_used_words,go_neutral,go_approval,go_excitement,go_curiosity,go_joy,go_admiration,go_confusion,go_realization,go_optimism,go_caring,go_love,go_desire,go_annoyance,go_surprise,go_amusement,go_relief,go_disapproval,go_pride,go_anger,go_disappointment,go_fear,go_nervousness,go_disgust,go_gratitude,go_sadness,go_embarrassment,go_grief,go_remorse
Ya-ta-ta,Allegro,Act 2,1947,Richard Rodgers,Oscar Hammerstein II,0.5205,0.4854,"yatata, busy, go, talk, day",0.7636,0.0259,0.0075,0.0012,0.0066,0.0318,0.0028,0.0351,0.0052,0.0022,0.0007,0.0035,0.0143,0.0031,0.0037,0.0035,0.0042,0.0015,0.0014,0.047,0.001,0.0012,0.0012,0.0009,0.0194,0.001,0.0014,0.0005
The Gentleman Is a Dope,Allegro,Act 2,1947,Richard Rodgers,Oscar Hammerstein II,0.5062,0.4012,"gentleman, dope, belong, know, eye",0.6204,0.012,0.0009,0.0069,0.0037,0.0013,0.0123,0.0225,0.0038,0.0023,0.0007,0.0014,0.0919,0.0021,0.0012,0.0012,0.0859,0.0003,0.0092,0.0491,0.0011,0.0016,0.0025,0.0013,0.091,0.002,0.0023,0.0011
Allegro,Allegro,Act 2,1947,Richard Rodgers,Oscar Hammerstein II,0.4197,0.4066,"allegro, spin, love, folk, man",0.6126,0.1044,0.028,0.032,0.0174,0.02,0.0198,0.0116,0.0051,0.0036,0.2697,0.0023,0.0081,0.0042,0.0025,0.0011,0.0061,0.0013,0.0027,0.0032,0.0011,0.0007,0.0014,0.0005,0.0017,0.0006,0.0005,0.0004
Come Home,Allegro,Act 2,1947,Richard Rodgers,Oscar Hammerstein II,0.4775,0.5112,"come, home, man, joe, ensemble",0.6553,0.0355,0.0076,0.0024,0.0222,0.0064,0.0025,0.0077,0.0127,0.0319,0.2304,0.099,0.0047,0.0012,0.0028,0.0013,0.0018,0.0009,0.002,0.0033,0.0013,0.0008,0.0014,0.0013,0.0054,0.0005,0.0009,0.0011
We Are the Altar Boyz,Altar Boyz,Act Unknown,2004,"Gary Adler , Michael Patrick Walker","Gary Adler , Michael Patrick Walker",0.3096,0.2887,"altar, boyz, matthew, mark, luke",0.3333,0.23,0.0569,0.0131,0.0893,0.0643,0.0033,0.0086,0.0208,0.0092,0.2693,0.0081,0.0161,0.0023,0.0028,0.0042,0.0071,0.0043,0.004,0.0022,0.0008,0.0006,0.0012,0.0015,0.0009,0.0005,0.0004,0.0003
God Put the Rhythm in Me,Altar Boyz,Act Unknown,2004,"Gary Adler , Michael Patrick Walker","Gary Adler , Michael Patrick Walker",0.2364,0.3221,"god, rhythm, mark, feel, beat",0.873,0.0474,0.0027,0.0804,0.0016,0.0051,0.0106,0.0111,0.0071,0.0034,0.0014,0.0026,0.0076,0.0011,0.001,0.0006,0.0024,0.0004,0.0014,0.0032,0.0007,0.0004,0.0009,0.0009,0.0018,0.0004,0.0003,0.0003
Church Rulez,Altar Boyz,Act Unknown,2004,"Gary Adler , Michael Patrick Walker","Gary Adler , Michael Patrick Walker",0.2774,0.4419,"stand, kneel, sit, listen, today",0.764,0.0265,0.0025,0.0036,0.0061,0.0047,0.0061,0.0069,0.007,0.1687,0.0036,0.0025,0.0225,0.0018,0.002,0.0019,0.0058,0.0007,0.0064,0.0055,0.031,0.0041,0.0029,0.0042,0.0046,0.0023,0.0009,0.0007
Calling,Altar Boyz,Act Unknown,2004,"Gary Adler , Michael Patrick Walker","Gary Adler , Michael Patrick Walker",0.4941,0.4664,"call, feel, jesus, word, cell",0.2264,0.0196,0.0655,0.0337,0.0194,0.0142,0.0109,0.0328,0.0068,0.0069,0.0626,0.0128,0.0147,0.0153,0.0039,0.0051,0.0051,0.0013,0.0048,0.1696,0.0127,0.0294,0.0033,0.0006,0.4832,0.0038,0.0169,0.008
Miracle Song,Altar Boyz,Act Unknown,2004,"Gary Adler , Michael Patrick Walker","Gary Adler , Michael Patrick Walker",0.3933,0.3667,"jesus, seein, believin, christ, nah",0.6556,0.0236,0.0608,0.1937,0.0078,0.0066,0.0329,0.0092,0.0049,0.0058,0.0025,0.0035,0.0064,0.007,0.0049,0.0012,0.0028,0.0006,0.0018,0.0047,0.0654,0.0048,0.0021,0.0008,0.0165,0.0017,0.0012,0.015
Everybody Fits,Altar Boyz,Act Unknown,2004,"Gary Adler , Michael Patrick Walker","Gary Adler , Michael Patrick Walker",0.4026,0.3442,"matter, abe, mark, luke, juan",0.5729,0.2284,0.0507,0.0035,0.0278,0.0105,0.0057,0.0261,0.0265,0.0188,0.0012,0.002,0.0325,0.0022,0.0019,0.0045,0.0389,0.0022,0.0024,0.039,0.001,0.0014,0.0014,0.0088,0.0085,0.0016,0.0005,0.0008
Something About You,Altar Boyz,Act Unknown,2004,"Gary Adler , Michael Patrick Walker","Gary Adler , Michael Patrick Walker",0.3383,0.4065,"baby, know, girl, ooh, love",0.1528,0.1402,0.0315,0.0331,0.0455,0.0561,0.0145,0.0263,0.1226,0.0243,0.3593,0.0481,0.0084,0.0058,0.0019,0.0031,0.0065,0.0021,0.0028,0.0346,0.0026,0.0027,0.0015,0.0008,0.0504,0.0009,0.0019,0.0022
Body Mind & Soul,Altar Boyz,Act Unknown,2004,"Gary Adler , Michael Patrick Walker","Gary Adler , Michael Patrick Walker",0.3251,0.4513,"work, yeah, get, believe, soul",0.4797,0.2039,0.0798,0.0637,0.0119,0.0121,0.1396,0.0195,0.0274,0.0105,0.0026,0.0052,0.025,0.0042,0.004,0.0015,0.0075,0.001,0.0035,0.0035,0.0015,0.0016,0.0012,0.0009,0.0011,0.0008,0.0003,0.0006
La Vida Eternal,Altar Boyz,Act Unknown,2004,"Gary Adler , Michael Patrick Walker","Gary Adler , Michael Patrick Walker",0.4564,0.3993,"la, vida, soul, pray, lord",0.2157,0.0441,0.0142,0.0103,0.0658,0.0142,0.0086,0.017,0.0406,0.4273,0.0148,0.0527,0.0063,0.0076,0.003,0.009,0.007,0.0023,0.0024,0.0055,0.2347,0.0742,0.0021,0.0028,0.0249,0.0014,0.004,0.0026
Epiphany,Altar Boyz,Act Unknown,2004,"Gary Adler , Michael Patrick Walker","Gary Adler , Michael Patrick Walker",0.4033,0.2867,"mark, matthew, luke, abe, juan",0.455,0.1085,0.0505,0.0201,0.0185,0.1085,0.0309,0.039,0.0128,0.0054,0.0023,0.0053,0.0287,0.0127,0.0077,0.0093,0.0331,0.0794,0.0052,0.0363,0.012,0.006,0.0038,0.0064,0.0222,0.0042,0.0019,0.0015
Number 918,Altar Boyz,Act Unknown,2004,"Gary Adler , Michael Patrick Walker","Gary Adler , Michael Patrick Walker",0.4887,0.4812,"hell, get, to, not, face",0.3994,0.0196,0.0026,0.0028,0.0042,0.0025,0.0023,0.0046,0.0098,0.0632,0.0025,0.003,0.2187,0.0011,0.0075,0.0006,0.0313,0.0008,0.4209,0.0053,0.0024,0.0009,0.0065,0.0007,0.0033,0.0014,0.0006,0.0007
I Believe,Altar Boyz,Act Unknown,2004,"Gary Adler , Michael Patrick Walker","Gary Adler , Michael Patrick Walker",0.3074,0.3385,"believe, come, abe, thing, true",0.141,0.3508,0.0058,0.0026,0.0034,0.0184,0.004,0.0744,0.6518,0.0316,0.0066,0.0234,0.0078,0.0034,0.0017,0.0025,0.0072,0.0023,0.0017,0.0088,0.0021,0.001,0.0011,0.0068,0.0018,0.0007,0.0006,0.0011
American Idiot,American Idiot,Act Unknown,2009,Green Day,Billie Joe Armstrong,0.3652,0.4045,"mean, new, want, idiot, america",0.4787,0.0485,0.0057,0.0063,0.0109,0.0009,0.0148,0.025,0.0048,0.0034,0.0005,0.0026,0.1875,0.002,0.0018,0.0041,0.2683,0.0009,0.0218,0.0241,0.0013,0.0017,0.0027,0.0016,0.0026,0.0019,0.0004,0.0004
Jesus of Suburbia,American Idiot,Act Unknown,2009,Green Day,Billie Joe Armstrong,0.3149,0.3556,"johnny, tunny, care, believe, away",0.5445,0.0309,0.0047,0.0653,0.0057,0.0016,0.0329,0.0168,0.0039,0.0129,0.0105,0.0025,0.1297,0.0035,0.0016,0.0013,0.0439,0.0006,0.1007,0.0767,0.007,0.0068,0.0109,0.0009,0.0348,0.0179,0.0017,0.0026
City of the Damned,American Idiot,Act Unknown,2009,Green Day,Billie Joe Armstrong,0.4208,0.4044,"tunny, johnny, city, lose, end",0.6423,0.0102,0.0008,0.0016,0.0013,0.0014,0.0019,0.0182,0.0022,0.0021,0.001,0.0017,0.0818,0.0018,0.0024,0.001,0.0187,0.0005,0.0082,0.218,0.0023,0.0022,0.013,0.0005,0.0667,0.0429,0.002,0.0043
I Don't Care,American Idiot,Act Unknown,2009,Green Day,Billie Joe Armstrong,0.3546,0.2908,"care, tunny, believe, johnny, land",0.4652,0.0183,0.0007,0.001,0.0009,0.0014,0.0016,0.007,0.0025,0.0026,0.0007,0.0011,0.3635,0.0008,0.0017,0.0003,0.0886,0.0004,0.2035,0.0131,0.0007,0.0003,0.0136,0.0006,0.0025,0.002,0.0003,0.0004
Dearly Beloved,American Idiot,Act Unknown,2009,Green Day,Billie Joe Armstrong,0.697,0.4242,"word, heather, dearly, belove, listen",0.0923,0.0287,0.0538,0.6438,0.0586,0.0055,0.3651,0.0164,0.011,0.0331,0.0143,0.0063,0.0181,0.0332,0.0019,0.007,0.0149,0.0009,0.0048,0.0185,0.0213,0.0526,0.0011,0.0013,0.0231,0.0029,0.0033,0.0041
Tales of Another Broken Home,American Idiot,Act Unknown,2009,Green Day,Billie Joe Armstrong,0.4519,0.3704,"johnny, run, leave, tunny, away",0.3665,0.005,0.0012,0.0086,0.0013,0.0008,0.0073,0.0106,0.0023,0.003,0.0012,0.0021,0.1896,0.0051,0.0015,0.0006,0.0181,0.0005,0.3385,0.0451,0.0309,0.005,0.0165,0.0004,0.0655,0.0074,0.0032,0.0014
Holiday,American Idiot,Act Unknown,2009,Green Day,Billie Joe Armstrong,0.4789,0.41,"life, tunny, johnny, beg, dream",0.6959,0.0117,0.0064,0.0063,0.0032,0.0017,0.0034,0.0076,0.0105,0.0019,0.002,0.1294,0.0788,0.0031,0.0039,0.0007,0.0351,0.0006,0.0586,0.0131,0.0039,0.0014,0.0063,0.0009,0.0138,0.0096,0.0013,0.0016
Boulevard Of Broken Dreams,American Idiot,Act Unknown,2009,Green Day,Billie Joe Armstrong,0.2823,0.4919,"walk, know, shadow, shallow, heart",0.3766,0.0092,0.0019,0.0037,0.0024,0.0015,0.0116,0.0231,0.0171,0.0042,0.0035,0.3096,0.0591,0.0024,0.0022,0.0012,0.0078,0.0006,0.01,0.0982,0.0045,0.0075,0.0074,0.0009,0.1968,0.0027,0.0045,0.0052
Favorite Son,American Idiot,Act Unknown,2009,Green Day,Billie Joe Armstrong,0.4201,0.426,"favorite, son, drag, joshua, women",0.0517,0.0504,0.0076,0.1634,0.0255,0.099,0.096,0.0112,0.0046,0.0117,0.3512,0.004,0.0294,0.0037,0.003,0.0015,0.0845,0.001,0.017,0.1096,0.0035,0.0049,0.0056,0.0017,0.2914,0.0029,0.0095,0.007
Are We the Waiting,American Idiot,Act Unknown,2009,Green Day,Billie Joe Armstrong,0.2798,0.3005,"waiting, tunny, wait, unknown, scream",0.9153,0.0079,0.0067,0.0161,0.0033,0.0015,0.0206,0.0108,0.0019,0.0009,0.003,0.002,0.0099,0.0069,0.0036,0.0005,0.002,0.0004,0.006,0.0043,0.0107,0.0016,0.007,0.0006,0.0058,0.0026,0.0011,0.0006
St. Jimmy,American Idiot,Act Unknown,2009,Green Day,Billie Joe Armstrong,0.4919,0.3669,"jimmy, come, gun, light, wear",0.5565,0.0179,0.0025,0.0283,0.0182,0.0019,0.0096,0.0179,0.003,0.003,0.0011,0.0015,0.1136,0.0049,0.0893,0.0014,0.0149,0.0007,0.159,0.0072,0.0156,0.0019,0.011,0.0008,0.005,0.0035,0.0008,0.0006
Give Me Novacaine,American Idiot,Act Unknown,2009,Green Day,Billie Joe Armstrong,0.3913,0.4658,"sensation, kiss, alright, tell, novacaine",0.4678,0.0709,0.0308,0.0111,0.0931,0.0045,0.0055,0.0087,0.0207,0.068,0.009,0.0177,0.0267,0.0023,0.0129,0.0088,0.005,0.0014,0.0033,0.0309,0.0049,0.0093,0.0037,0.0018,0.0811,0.0012,0.0023,0.001
Last of the American GirlsShe's a Rebel,American Idiot,Act Unknown,2009,Green Day,Billie Joe Armstrong,0.4147,0.3244,"johnny, whatsername, gerard, chase, rebel",0.8821,0.0469,0.0023,0.0007,0.0024,0.0805,0.0011,0.0116,0.0032,0.0025,0.0013,0.0011,0.0093,0.001,0.0019,0.001,0.0054,0.0022,0.0033,0.005,0.0044,0.0006,0.0027,0.0009,0.003,0.0009,0.0007,0.0004
Last Night on Earth,American Idiot,Act Unknown,2009,Green Day,Billie Joe Armstrong,0.3141,0.3351,"st, jimmy, love, send, whatsername",0.1794,0.0472,0.0056,0.0775,0.009,0.013,0.0137,0.0051,0.0353,0.2361,0.6037,0.0393,0.0061,0.0012,0.001,0.0017,0.0041,0.0009,0.0067,0.005,0.0029,0.0025,0.0017,0.0076,0.0148,0.0005,0.002,0.0056
Too Much Too Soon,American Idiot,Act Unknown,2009,Green Day,Billie Joe Armstrong,0.3983,0.4979,"alysha, theo, soon, little, unglued",0.2477,0.0109,0.1025,0.0026,0.0151,0.0035,0.0018,0.0245,0.0118,0.0031,0.0026,0.0064,0.3113,0.068,0.0471,0.0017,0.0343,0.0014,0.079,0.1012,0.0023,0.0016,0.0241,0.0019,0.0237,0.006,0.0014,0.0017
Before the Lobotomy,American Idiot,Act Unknown,2009,Green Day,Billie Joe Armstrong,0.8197,0.4918,"dream, wash, die, tunny, place",0.4805,0.0064,0.0018,0.0019,0.0069,0.0014,0.0016,0.0225,0.0021,0.0028,0.0031,0.0054,0.018,0.0034,0.0087,0.0018,0.0048,0.0005,0.005,0.0772,0.006,0.0053,0.0083,0.0007,0.6214,0.0044,0.0155,0.0051
Extraordinary Girl,American Idiot,Act Unknown,2009,Green Day,Billie Joe Armstrong,0.4076,0.462,"extraordinary, girl, tunny, like, day",0.6126,0.0199,0.0018,0.0011,0.0022,0.257,0.0017,0.016,0.0024,0.0026,0.0032,0.0025,0.0164,0.0025,0.0016,0.0012,0.0137,0.0016,0.0035,0.0589,0.003,0.0014,0.0051,0.0017,0.1244,0.0017,0.0039,0.0015
Before the Lobotomy (Reprise),American Idiot,Act Unknown,2009,Green Day,Billie Joe Armstrong,0.7183,0.4225,"tunny, chase, dream, joshua, wash",0.5779,0.0053,0.0015,0.0017,0.0062,0.0011,0.0016,0.0184,0.002,0.0024,0.0019,0.0041,0.0235,0.0027,0.0107,0.0015,0.007,0.0004,0.0054,0.086,0.0042,0.0041,0.0078,0.0005,0.4907,0.0047,0.0101,0.0041
When It's Time,American Idiot,Act Unknown,2009,Green Day,Billie Joe Armstrong,0.4852,0.4083,"time, love, tell, trap, mind",0.066,0.0296,0.0068,0.167,0.0061,0.0044,0.0209,0.0126,0.0199,0.0339,0.7348,0.1269,0.0104,0.0036,0.0036,0.0013,0.0095,0.0005,0.0074,0.0417,0.0042,0.0051,0.005,0.0026,0.1519,0.0028,0.0043,0.0926
Know Your Enemy,American Idiot,Act Unknown,2009,Green Day,Billie Joe Armstrong,0.2526,0.3447,"enemy, oh, way, st, jimmy",0.8742,0.025,0.0026,0.0871,0.0011,0.0015,0.0243,0.0071,0.0031,0.003,0.0009,0.0011,0.0165,0.0027,0.0014,0.0003,0.01,0.0002,0.0043,0.0026,0.0015,0.0005,0.0013,0.0003,0.0013,0.0005,0.0003,0.0002
21 Guns,American Idiot,Act Unknown,2009,Green Day,Billie Joe Armstrong,0.4039,0.3961,"gun, arm, fight, lay, throw",0.6516,0.0082,0.0013,0.1902,0.0014,0.001,0.0765,0.0144,0.0037,0.0041,0.0011,0.0018,0.0232,0.0031,0.0023,0.0006,0.0079,0.0003,0.0047,0.0429,0.0037,0.0026,0.0032,0.0006,0.0648,0.0023,0.0022,0.0021
Letterbomb,American Idiot,Act Unknown,2009,Green Day,Billie Joe Armstrong,0.5066,0.4185,"late, whatsername, city, leave, go",0.5561,0.0092,0.0025,0.0459,0.0022,0.0009,0.04,0.0154,0.0035,0.0016,0.0008,0.0015,0.2565,0.0052,0.0023,0.0006,0.0447,0.0004,0.1239,0.0283,0.0016,0.001,0.0079,0.0011,0.006,0.0028,0.0007,0.0006
Wake Me Up When September Ends,American Idiot,Act Unknown,2009,Green Day,Billie Joe Armstrong,0.2748,0.4054,"tunny, wake, end, johnny, come",0.7694,0.0094,0.0092,0.0017,0.0153,0.0024,0.0018,0.0799,0.0045,0.0023,0.0031,0.0077,0.0101,0.0204,0.0038,0.0043,0.0025,0.0015,0.0024,0.0487,0.0071,0.0059,0.0026,0.0011,0.1574,0.0035,0.0099,0.0024
The Death of St. Jimmy,American Idiot,Act Unknown,2009,Green Day,Billie Joe Armstrong,0.5459,0.3622,"jimmy, st, johnny, come, waste",0.6927,0.0091,0.0011,0.0313,0.0022,0.0018,0.0153,0.021,0.002,0.0025,0.0017,0.0027,0.0736,0.0031,0.0022,0.0012,0.0114,0.0005,0.017,0.0575,0.0054,0.0027,0.0064,0.0006,0.2216,0.0045,0.0069,0.0037
East 12th Street,American Idiot,Act Unknown,2009,Green Day,Billie Joe Armstrong,0.4438,0.4379,"theo, care, gerard, right, dream",0.7696,0.0069,0.0015,0.0128,0.0012,0.0005,0.0087,0.005,0.0042,0.0068,0.0009,0.0259,0.0828,0.0012,0.0017,0.0004,0.0256,0.0002,0.0451,0.0128,0.0025,0.0016,0.0034,0.0003,0.0074,0.001,0.0007,0.0006
Nobody Likes You,American Idiot,Act Unknown,2009,Green Day,Billie Joe Armstrong,0.4904,0.4038,"leave, cup, coffee, like, fun",0.6157,0.0054,0.0036,0.0492,0.0147,0.0006,0.0206,0.0096,0.004,0.0033,0.0013,0.0032,0.0428,0.0039,0.0386,0.0009,0.0064,0.0002,0.0083,0.0662,0.0032,0.0074,0.0025,0.0002,0.1012,0.0027,0.0026,0.0015
Rock and Roll Girlfriend,American Idiot,Act Unknown,2009,Green Day,Billie Joe Armstrong,0.4609,0.3652,"miguel, get, rock, roll, heather",0.8737,0.0483,0.0064,0.0008,0.0072,0.0021,0.0014,0.0095,0.002,0.0015,0.001,0.001,0.063,0.0012,0.0062,0.0007,0.0152,0.0007,0.0183,0.0046,0.001,0.0004,0.0031,0.0004,0.002,0.0011,0.0003,0.0003
We're Coming Home Again,American Idiot,Act Unknown,2009,Green Day,Billie Joe Armstrong,0.5155,0.4348,"johnny, come, home, tunny, like",0.6586,0.0131,0.0091,0.001,0.0581,0.002,0.0016,0.0192,0.0043,0.0045,0.0108,0.0041,0.0182,0.0035,0.0665,0.0026,0.0058,0.0011,0.0095,0.0194,0.1292,0.0073,0.0044,0.0007,0.014,0.0021,0.0016,0.0009
Whatsername,American Idiot,Act Unknown,2009,Green Day,Billie Joe Armstrong,0.4486,0.4432,"remember, face, ago, johnny, turn",0.4755,0.0122,0.0048,0.1103,0.0034,0.0019,0.0687,0.1186,0.0049,0.001,0.0022,0.0022,0.029,0.1888,0.0035,0.0016,0.0185,0.0005,0.0028,0.0746,0.0058,0.0048,0.0027,0.0008,0.0177,0.0129,0.0022,0.0027
Good Riddance (Time of Your Life),American Idiot,Act Unknown,2009,Green Day,Billie Joe Armstrong,0.4258,0.4323,"time, unpredictable, end, right, hope",0.0494,0.2281,0.0048,0.0061,0.0058,0.0246,0.0072,0.0173,0.91,0.1225,0.009,0.0742,0.0054,0.0024,0.0028,0.0028,0.0082,0.0026,0.0025,0.0054,0.0036,0.0014,0.0014,0.009,0.003,0.0007,0.001,0.0047
Overture,"American in Paris, An",Act Unknown,2014,George Gershwin,Ira Gershwin,1.0,0.75,"instrumental, update, june",0.8713,0.0141,0.0131,0.002,0.0106,0.0014,0.0038,0.0447,0.0054,0.0009,0.0011,0.0028,0.0039,0.0044,0.0033,0.0024,0.0011,0.001,0.0007,0.005,0.0017,0.0016,0.0013,0.0071,0.0049,0.0012,0.0009,0.001
Embraceable You,"American in Paris, An",Act Unknown,2014,George Gershwin,Ira Gershwin,0.4733,0.4527,"come, love, embrace, sweet, embraceable",0.2721,0.0566,0.0172,0.0441,0.012,0.0321,0.0146,0.0181,0.0216,0.0754,0.4384,0.0115,0.0066,0.0059,0.0018,0.0025,0.0087,0.0019,0.0065,0.0076,0.2696,0.0327,0.0046,0.0025,0.0125,0.0014,0.0025,0.0023
Nice Work If You Can Get It,"American in Paris, An",Act Unknown,2014,George Gershwin,Ira Gershwin,0.341,0.4393,"nice, work, sigh, love, instrumental",0.1168,0.1023,0.006,0.1662,0.0073,0.2425,0.0442,0.0053,0.0175,0.0172,0.4391,0.0085,0.0032,0.0017,0.0011,0.0006,0.003,0.0006,0.0017,0.0018,0.0009,0.0005,0.0008,0.002,0.0018,0.0003,0.0004,0.0009
By Strauss,"American in Paris, An",Act Unknown,2014,George Gershwin,Ira Gershwin,0.3868,0.2613,"la, henri, baurel, strauss, want",0.7583,0.034,0.0135,0.0137,0.0609,0.0045,0.0063,0.0063,0.005,0.0042,0.0029,0.0029,0.006,0.0013,0.1316,0.0012,0.0019,0.0008,0.0018,0.0014,0.0008,0.0006,0.0009,0.0011,0.0013,0.0005,0.0004,0.0004
I Got Rhythm,"American in Paris, An",Act Unknown,2014,George Gershwin,Ira Gershwin,0.4279,0.4236,"get, ask, girl, moi, door",0.6584,0.057,0.0141,0.1541,0.01,0.1385,0.0859,0.0096,0.0036,0.0014,0.003,0.0015,0.0085,0.0039,0.0019,0.0007,0.0058,0.0012,0.0018,0.0025,0.0007,0.0005,0.0008,0.0008,0.0011,0.0005,0.0003,0.0003
Tra-la-la (This Time It's Really Love),"American in Paris, An",Act Unknown,2014,George Gershwin,Ira Gershwin,0.4074,0.4021,"la, adam, cook, jerry, mulligan",0.4916,0.0188,0.108,0.0123,0.1374,0.0176,0.0065,0.0141,0.0041,0.0026,0.303,0.0035,0.0054,0.0118,0.0117,0.002,0.0034,0.0012,0.0026,0.0045,0.0031,0.0025,0.0016,0.0022,0.0045,0.0013,0.0009,0.0008
Our Love Is Here to Stay,"American in Paris, An",Act Unknown,2014,George Gershwin,Ira Gershwin,0.622,0.4634,"love, stay, time, long, jerry",0.5507,0.0567,0.0079,0.002,0.01,0.0033,0.0033,0.0221,0.0171,0.0183,0.4106,0.0146,0.0036,0.0025,0.0021,0.0016,0.0025,0.0008,0.0017,0.0039,0.0016,0.0013,0.0012,0.0026,0.0049,0.0008,0.0009,0.0016
I'll Build a Stairway to Paradise,"American in Paris, An",Act Unknown,2014,George Gershwin,Ira Gershwin,0.4725,0.4037,"paradise, new, step, day, build",0.4321,0.1377,0.0239,0.0028,0.0334,0.0184,0.0016,0.0127,0.0512,0.0695,0.0041,0.0152,0.0087,0.0018,0.0038,0.0052,0.0036,0.0021,0.0022,0.0323,0.0016,0.0024,0.0014,0.002,0.2723,0.0009,0.0084,0.0014
Concerto in F for Piano and Orchestra,"American in Paris, An",Act Unknown,2014,George Gershwin,Ira Gershwin,1.0,0.75,"instrumental, update, june",0.8713,0.0141,0.0131,0.002,0.0106,0.0014,0.0038,0.0447,0.0054,0.0009,0.0011,0.0028,0.0039,0.0044,0.0033,0.0024,0.0011,0.001,0.0007,0.005,0.0017,0.0016,0.0013,0.0071,0.0049,0.0012,0.0009,0.001
'S Wonderful,"American in Paris, An",Act Unknown,2014,George Gershwin,Ira Gershwin,0.3718,0.4615,"wonderful, marvelous, care, awful, nice",0.0083,0.0508,0.0102,0.0039,0.0331,0.8733,0.0024,0.0052,0.0281,0.1556,0.3471,0.0054,0.0045,0.0027,0.0022,0.0043,0.0067,0.0059,0.0029,0.0034,0.0019,0.0014,0.0013,0.0297,0.0051,0.0006,0.0015,0.0014
An American in Paris Ballet,"American in Paris, An",Act Unknown,2014,George Gershwin,Ira Gershwin,1.0,0.75,"instrumental, update, june",0.8713,0.0141,0.0131,0.002,0.0106,0.0014,0.0038,0.0447,0.0054,0.0009,0.0011,0.0028,0.0039,0.0044,0.0033,0.0024,0.0011,0.001,0.0007,0.005,0.0017,0.0016,0.0013,0.0071,0.0049,0.0012,0.0009,0.001
Every 10 Seconds,American Mall,Act Unknown,2008,"Amber Funk , Matt LaPoint , Matthew Temple",Unknown,0.3038,0.4334,"time, get, second, to, go",0.6634,0.0719,0.0258,0.0018,0.0113,0.0044,0.0014,0.0468,0.085,0.0016,0.0017,0.1008,0.019,0.0048,0.0038,0.0022,0.0035,0.002,0.0015,0.0243,0.0011,0.001,0.0016,0.0006,0.0032,0.0013,0.0005,0.0008
At the Mall,American Mall,Act Unknown,2008,"Amber Funk , Matt LaPoint , Matthew Temple",Unknown,0.5299,0.444,"mall, chorus, world, check, boy",0.6028,0.0686,0.0646,0.0098,0.0129,0.0371,0.0016,0.0085,0.0069,0.0033,0.0908,0.0608,0.0106,0.0021,0.0021,0.0008,0.0057,0.0009,0.0016,0.0037,0.0007,0.0004,0.0016,0.0008,0.0014,0.0004,0.0003,0.0003
Dreaming Wide Awake,American Mall,Act Unknown,2008,"Amber Funk , Matt LaPoint , Matthew Temple",Unknown,0.4031,0.4869,"dream, live, loud, hide, afraid",0.7677,0.0489,0.0117,0.0146,0.0046,0.003,0.0239,0.0416,0.0063,0.0022,0.0013,0.0025,0.0051,0.0121,0.0027,0.0014,0.0018,0.001,0.0016,0.0027,0.0714,0.0068,0.0026,0.0003,0.0036,0.002,0.001,0.0006
Get Your Rock On,American Mall,Act Unknown,2008,"Amber Funk , Matt LaPoint , Matthew Temple",Unknown,0.2737,0.4175,"cmon, getcha, rock, to, wanna",0.6423,0.1383,0.0119,0.0104,0.0227,0.0058,0.003,0.0082,0.0106,0.1647,0.0024,0.0055,0.0478,0.0006,0.012,0.004,0.0189,0.0011,0.0058,0.006,0.0007,0.0018,0.0009,0.0003,0.0026,0.0005,0.0005,0.0004
New You,American Mall,Act Unknown,2008,"Amber Funk , Matt LaPoint , Matthew Temple",Unknown,0.3713,0.4007,"new, look, feel, want, get",0.6652,0.1193,0.0884,0.0283,0.0152,0.0078,0.0069,0.0104,0.0338,0.0095,0.0034,0.0098,0.0043,0.0101,0.0088,0.0013,0.0017,0.001,0.0014,0.0013,0.0047,0.0011,0.0012,0.0008,0.001,0.0005,0.0004,0.0003
Little Bit of Heart Somewhere,American Mall,Act Unknown,2008,"Amber Funk , Matt LaPoint , Matthew Temple",Unknown,0.2072,0.3553,"hey, sugar, not, sweet, go",0.712,0.1322,0.0158,0.0011,0.0984,0.0067,0.0011,0.0116,0.0081,0.0255,0.0092,0.0045,0.0242,0.0006,0.0026,0.0183,0.0188,0.0028,0.0038,0.0061,0.0009,0.0021,0.0012,0.0007,0.0032,0.0008,0.0006,0.0004
Survivor,American Mall,Act Unknown,2008,"Amber Funk , Matt LaPoint , Matthew Temple",Unknown,0.4655,0.4095,"survivor, scream, loud, strong, right",0.2036,0.3947,0.0032,0.0007,0.0048,0.0121,0.0013,0.107,0.0137,0.02,0.0093,0.0068,0.0696,0.0023,0.0014,0.0057,0.008,0.0058,0.0244,0.1121,0.0101,0.0086,0.0066,0.0008,0.1487,0.0065,0.005,0.0043
Sorry's Not Enough,American Mall,Act Unknown,2008,"Amber Funk , Matt LaPoint , Matthew Temple",Unknown,0.3509,0.4781,"leave, sorry, need, strength, turn",0.2206,0.0269,0.0013,0.1089,0.0016,0.0009,0.1009,0.0318,0.0209,0.0092,0.0057,0.0235,0.0266,0.0041,0.0019,0.0013,0.0198,0.0003,0.0038,0.1411,0.004,0.0088,0.0026,0.0008,0.1784,0.0109,0.004,0.2262
